"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2026-01-08,NA,"D5","PM",970
2026-01-08,"08:56:00","D5","PX",972
2026-01-08,"23:42:00","D5","PN",966.3
2026-01-08,NA,"D5","PPT",0
2026-01-08,NA,"D5","RS24h",8.3
2026-01-08,NA,"D5","VVM10",7.3
2026-01-08,NA,"D5","DVM10",306
2026-01-08,"07:59:00","D5","VVX10",19.1
2026-01-08,"07:59:00","D5","DVVX10",318
2026-01-08,NA,"X4","TM",11.5
2026-01-08,"15:32:00","X4","TX",15.5
2026-01-08,"00:38:00","X4","TN",6.3
2026-01-08,NA,"X4","HRM",58
2026-01-08,"04:54:00","X4","HRX",70
2026-01-08,"23:59:00","X4","HRN",48
2026-01-08,NA,"X4","PM",1015.7
2026-01-08,"09:00:00","X4","PX",1017.6
2026-01-08,"23:59:00","X4","PN",1011.6
2026-01-08,NA,"X4","PPT",0
2026-01-08,NA,"X4","RS24h",7.9
2026-01-08,NA,"X4","VVM10",3.1
2026-01-08,NA,"X4","DVM10",291
2026-01-08,"23:58:00","X4","VVX10",14.4
2026-01-08,"23:58:00","X4","DVVX10",302
2026-01-08,NA,"X8","TM",10.8
2026-01-08,"13:50:00","X8","TX",15.7
2026-01-08,"01:19:00","X8","TN",4.4
2026-01-08,NA,"X8","HRM",61
2026-01-08,"03:00:00","X8","HRX",74
2026-01-08,"23:59:00","X8","HRN",50
2026-01-08,NA,"X8","PM",1010
2026-01-08,"09:29:00","X8","PX",1011.7
2026-01-08,"23:42:00","X8","PN",1006.7
2026-01-08,NA,"X8","PPT",0
2026-01-08,NA,"X8","RS24h",7.7
2026-01-08,NA,"X8","VVM10",3.5
2026-01-08,NA,"X8","DVM10",290
2026-01-08,"11:35:00","X8","VVX10",13.4
2026-01-08,"11:35:00","X8","DVVX10",309
2026-01-09,NA,"D5","TM",9.3
2026-01-09,"14:22:00","D5","TX",14.1
2026-01-09,"23:48:00","D5","TN",4.7
2026-01-09,NA,"D5","HRM",58
2026-01-09,"07:04:00","D5","HRX",72
2026-01-09,"17:29:00","D5","HRN",40
2026-01-09,NA,"D5","PM",964.7
2026-01-09,"00:32:00","D5","PX",967.3
2026-01-09,"17:23:00","D5","PN",961.4
2026-01-09,NA,"D5","PPT",0
2026-01-09,NA,"D5","RS24h",9.4
2026-01-09,NA,"D5","VVM10",5
2026-01-09,NA,"D5","DVM10",246
2026-01-09,"11:47:00","D5","VVX10",16.9
2026-01-09,"11:47:00","D5","DVVX10",258
2026-01-09,NA,"X4","TM",13.2
2026-01-09,"10:50:00","X4","TX",16.6
2026-01-09,"23:59:00","X4","TN",8.8
2026-01-09,NA,"X4","HRM",45
2026-01-09,"07:12:00","X4","HRX",58
2026-01-09,"18:04:00","X4","HRN",32
2026-01-09,NA,"X4","PM",1009.8
2026-01-09,"02:00:00","X4","PX",1012
2026-01-09,"15:03:00","X4","PN",1006.7
2026-01-09,NA,"X4","PPT",0
2026-01-09,NA,"X4","RS24h",9.3
2026-01-09,NA,"X4","VVM10",5.8
2026-01-09,NA,"X4","DVM10",298
2026-01-09,"21:43:00","X4","VVX10",17.9
2026-01-09,"21:43:00","X4","DVVX10",310
2026-01-09,NA,"X8","TM",12.3
2026-01-09,"11:22:00","X8","TX",16.8
2026-01-09,"23:51:00","X8","TN",7.7
2026-01-09,NA,"X8","HRM",49
2026-01-09,"07:17:00","X8","HRX",70
2026-01-09,"15:02:00","X8","HRN",34
2026-01-09,NA,"X8","PM",1004.5
2026-01-09,"00:33:00","X8","PX",1007.1
2026-01-09,"14:54:00","X8","PN",1001
2026-01-09,NA,"X8","PPT",0
2026-01-09,NA,"X8","RS24h",9.4
2026-01-09,NA,"X8","VVM10",3.8
2026-01-09,NA,"X8","DVM10",284
2026-01-09,"16:15:00","X8","VVX10",17.5
2026-01-09,"16:15:00","X8","DVVX10",295
2026-01-10,NA,"D5","TM",6.3
2026-01-10,"14:03:00","D5","TX",11.9
2026-01-10,"07:06:00","D5","TN",3
2026-01-10,NA,"D5","HRM",67
2026-01-10,"08:01:00","D5","HRX",79
2026-01-10,"13:41:00","D5","HRN",48
2026-01-10,NA,"D5","PM",968.7
2026-01-10,"23:59:00","D5","PX",971.3
2026-01-10,"01:00:00","D5","PN",965.6
2026-01-10,NA,"D5","PPT",0
2026-01-10,NA,"D5","RS24h",9.2
2026-01-10,NA,"D5","VVM10",4
2026-01-10,NA,"D5","DVM10",286
2026-01-10,"21:43:00","D5","VVX10",13.1
2026-01-10,"21:43:00","D5","DVVX10",316
2026-01-10,NA,"X4","TM",10
2026-01-10,"14:34:00","X4","TX",14.1
2026-01-10,"07:09:00","X4","TN",7.3
2026-01-10,NA,"X4","HRM",52
2026-01-10,"23:30:00","X4","HRX",61
2026-01-10,"13:51:00","X4","HRN",39
2026-01-10,NA,"X4","PM",1014.2
2026-01-10,"23:49:00","X4","PX",1016.8
2026-01-10,"00:16:00","X4","PN",1010.6
2026-01-10,NA,"X4","PPT",0
2026-01-10,NA,"X4","RS24h",9.5
2026-01-10,NA,"X4","VVM10",4.5
2026-01-10,NA,"X4","DVM10",311
2026-01-10,"02:45:00","X4","VVX10",16.5
2026-01-10,"02:45:00","X4","DVVX10",309
2026-01-10,NA,"X8","TM",9.3
2026-01-10,"13:37:00","X8","TX",13.6
2026-01-10,"06:04:00","X8","TN",6.3
2026-01-10,NA,"X8","HRM",55
2026-01-10,"06:04:00","X8","HRX",65
2026-01-10,"13:41:00","X8","HRN",41
2026-01-10,NA,"X8","PM",1008.8
2026-01-10,"23:58:00","X8","PX",1011.2
2026-01-10,"00:37:00","X8","PN",1005.8
2026-01-10,NA,"X8","PPT",0
2026-01-10,NA,"X8","RS24h",9.5
2026-01-10,NA,"X8","VVM10",4
2026-01-10,NA,"X8","DVM10",301
2026-01-10,"01:07:00","X8","VVX10",12.3
2026-01-10,"01:07:00","X8","DVVX10",306
2026-01-11,NA,"D5","TM",7.4
2026-01-11,"14:43:00","D5","TX",13.4
2026-01-11,"07:47:00","D5","TN",4
2026-01-11,NA,"D5","HRM",70
2026-01-11,"03:17:00","D5","HRX",82
2026-01-11,"12:45:00","D5","HRN",52
2026-01-11,NA,"D5","PM",973.9
2026-01-11,"09:51:00","D5","PX",975.4
2026-01-11,"00:01:00","D5","PN",971.2
2026-01-11,NA,"D5","PPT",0
2026-01-11,NA,"D5","RS24h",9.4
2026-01-11,NA,"D5","VVM10",4.9
2026-01-11,NA,"D5","DVM10",297
2026-01-11,"06:13:00","D5","VVX10",11.5
2026-01-11,"06:13:00","D5","DVVX10",334
2026-01-11,NA,"X4","TM",10.3
2026-01-11,"14:40:00","X4","TX",13.7
2026-01-11,"07:32:00","X4","TN",7.6
2026-01-11,NA,"X4","HRM",58
2026-01-11,"20:00:00","X4","HRX",66
2026-01-11,"12:49:00","X4","HRN",41
2026-01-11,NA,"X4","PM",1019.4
2026-01-11,"10:00:00","X4","PX",1021.2
2026-01-11,"00:36:00","X4","PN",1016.7
2026-01-11,NA,"X4","PPT",0
2026-01-11,NA,"X4","RS24h",9.3
2026-01-11,NA,"X4","VVM10",1.6
2026-01-11,NA,"X4","DVM10",297
2026-01-11,"06:08:00","X4","VVX10",7.5
2026-01-11,"06:08:00","X4","DVVX10",341
2026-01-11,NA,"X8","TM",9
2026-01-11,"14:46:00","X8","TX",13.4
2026-01-11,"01:32:00","X8","TN",5.8
2026-01-11,NA,"X8","HRM",65
2026-01-11,"18:07:00","X8","HRX",82
2026-01-11,"12:49:00","X8","HRN",45
2026-01-11,NA,"X8","PM",1013.7
2026-01-11,"10:02:00","X8","PX",1015.7
2026-01-11,"00:01:00","X8","PN",1010.9
2026-01-11,NA,"X8","PPT",0
2026-01-11,NA,"X8","RS24h",9.6
2026-01-11,NA,"X8","VVM10",2
2026-01-11,NA,"X8","DVM10",290
2026-01-11,"06:28:00","X8","VVX10",9.3
2026-01-11,"06:28:00","X8","DVVX10",343
2026-01-12,NA,"D5","TM",9.9
